pair,label,distance_m,speed_m_s,radial_speed_m_s,specific_energy_J_kg,specific_angular_momentum_m2_s,semimajor_axis_m,eccentricity,pericenter_m,apocenter_m,period_s,contact_r95_m,roche_r95_m,q_over_contact_r95,contact_r99_m,roche_r99_m,q_over_contact_r99,contact_rmax_m,roche_rmax_m,q_over_contact_rmax,two_body_time_to_contact_r95_hr,two_body_time_to_contact_r99_hr,two_body_time_to_contact_rmax_hr,angular_momentum_increase_to_r99_contact_kg_m2_s,fractional_h_increase_to_r99_contact,radial_kinetic_at_r99_contact_J
earth_mars,Earth--Mars,160981249.22268078,532.1952500738843,-108.15803420021605,-2582573.578059172,83885539318.67888,84904342.65868288,0.9005626589582881,8442662.07687382,161366023.24049196,234729.9048554522,10001716.45617396,19026808.559669476,0.8441213179626031,10354251.521104556,20259313.46252419,0.8153812044903065,11250786.892308999,22469923.816368844,0.7504063633669211,30.401887096257838,30.37478497111672,30.31178441177831,4.256539765441881e+33,0.10085952301996448,3.4984316478382197e+30
mars_secondary,Mars--secondary,21170016.28553825,1064.2571055019619,-301.6658152278963,-1230552.1733845165,21606290396.31287,15456413.68429894,0.45388749092049135,8440940.858503347,22471886.51009453,61904.694908592806,4717417.0847812435,8749276.625073818,1.7893140900630735,5004535.241161068,9182290.597792523,1.6866582912792163,5427884.614407222,9295259.708608517,1.555106907781086,,,,,,
earth_secondary,Earth--secondary,164925058.1763423,1283.5268843979186,740.1117717850674,-1621659.2223560885,172949370437.9607,124349311.21725585,0.6352692921062016,45354012.30637596,203344610.1281357,433838.86618286517,7700031.242625451,19440019.384086784,5.890107569344325,7885006.1100122575,20402133.211772628,5.751931155612694,8389383.610212106,20653139.300409976,5.406119735801339,,,,,,
